season,week,date,away_team,home_team,elo_diff_pre_game,p_home,predicted_winner,model_probability,actual_home_score,actual_away_score,actual_winner,correct
2016,17,2017-01-01,NE,MIA,-319.81,0.1625,NE,0.8375,14,35,NE,1
2016,17,2017-01-01,CHI,MIN,137.23,0.7294,MIN,0.7294,38,10,MIN,1
2016,17,2017-01-01,BUF,NYJ,-105.53,0.3999,BUF,0.6001,30,10,NYJ,0
2016,17,2017-01-01,DAL,PHI,-85.1,0.4284,DAL,0.5716,27,13,PHI,0
2016,17,2017-01-01,CLE,PIT,395.85,0.9227,PIT,0.9227,27,24,PIT,1
2016,17,2017-01-01,CAR,TB,-188.41,0.2925,CAR,0.7075,17,16,TB,0
2016,17,2017-01-01,HOU,TEN,-168.38,0.317,HOU,0.683,24,17,TEN,0
2016,17,2017-01-01,NO,ATL,66.91,0.6426,ATL,0.6426,38,32,ATL,1
2016,17,2017-01-01,LV,DEN,233.63,0.8244,DEN,0.8244,24,6,DEN,1
2016,17,2017-01-01,ARI,LAR,-224.72,0.2512,ARI,0.7488,6,44,ARI,1
2016,17,2017-01-01,KC,LAC,-170.22,0.3147,KC,0.6853,27,37,KC,1
2016,17,2017-01-01,SEA,SF,-322.04,0.1608,SEA,0.8392,23,25,SEA,1
2016,17,2017-01-01,NYG,WAS,-44.44,0.4864,NYG,0.5136,10,19,NYG,1
2016,17,2017-01-02,GB,DET,-137.02,0.3573,GB,0.6427,24,31,GB,1
2017,1,2017-09-08,KC,NE,184.97,0.7801,NE,0.7801,27,42,KC,0
2017,1,2017-09-10,NYJ,BUF,68.31,0.6444,BUF,0.6444,21,12,BUF,1
2017,1,2017-09-10,ATL,CHI,-217.12,0.2595,ATL,0.7405,17,23,ATL,1
2017,1,2017-09-10,BAL,CIN,65.9,0.6413,CIN,0.6413,0,20,BAL,0
2017,1,2017-09-10,PIT,CLE,-397.14,0.1106,PIT,0.8894,18,21,PIT,1
2017,1,2017-09-10,ARI,DET,-96.83,0.4119,ARI,0.5881,35,23,DET,0
2017,1,2017-09-10,JAX,HOU,229.05,0.8205,HOU,0.8205,7,29,JAX,0
2017,1,2017-09-10,LV,TEN,-53.35,0.4736,LV,0.5264,16,26,LV,1
2017,1,2017-09-10,PHI,WAS,-75.43,0.4421,PHI,0.5579,17,30,PHI,1
2017,1,2017-09-10,IND,LAR,-183.55,0.2984,IND,0.7016,46,9,LAR,0
2017,1,2017-09-10,SEA,GB,-57.93,0.467,SEA,0.533,17,9,GB,0
2017,1,2017-09-10,CAR,SF,-202.9,0.2756,CAR,0.7244,3,23,CAR,1
2017,1,2017-09-11,NYG,DAL,69.02,0.6454,DAL,0.6454,19,3,DAL,1
2017,1,2017-09-11,NO,MIN,17.03,0.5743,MIN,0.5743,29,19,MIN,1
2017,1,2017-09-12,LAC,DEN,199.26,0.7939,DEN,0.7939,24,21,DEN,1
2017,2,2017-09-15,HOU,CIN,115.08,0.7035,CIN,0.7035,9,13,HOU,0
2017,2,2017-09-17,CLE,BAL,292.88,0.8685,BAL,0.8685,24,10,BAL,1
2017,2,2017-09-17,BUF,CAR,82.49,0.6629,CAR,0.6629,9,3,CAR,1
2017,2,2017-09-17,ARI,IND,-82.81,0.4316,ARI,0.5684,13,16,ARI,1
2017,2,2017-09-17,TEN,JAX,-48.03,0.4813,TEN,0.5187,16,37,TEN,1
2017,2,2017-09-17,PHI,KC,111.53,0.6992,KC,0.6992,27,20,KC,1
2017,2,2017-09-17,NE,NO,-301.31,0.1776,NE,0.8224,20,36,NE,1
2017,2,2017-09-17,MIN,PIT,139.79,0.7323,PIT,0.7323,26,9,PIT,1
2017,2,2017-09-17,CHI,TB,38.13,0.6037,TB,0.6037,29,7,TB,1
2017,2,2017-09-17,MIA,LAC,-40.14,0.4926,MIA,0.5074,17,19,MIA,1
2017,2,2017-09-17,NYJ,LV,-7.03,0.5402,LV,0.5402,45,20,LV,1
2017,2,2017-09-17,DAL,DEN,57.32,0.6298,DEN,0.6298,42,17,DEN,1
2017,2,2017-09-17,WAS,LAR,-65.76,0.4558,WAS,0.5442,20,27,WAS,1
2017,2,2017-09-17,SF,SEA,323.02,0.887,SEA,0.887,12,9,SEA,1
2017,2,2017-09-18,GB,ATL,-65.46,0.4563,GB,0.5437,34,23,ATL,0
2017,2,2017-09-19,DET,NYG,-1.35,0.5483,NYG,0.5483,10,24,DET,0
2017,3,2017-09-22,LAR,SF,-1.36,0.5483,SF,0.5483,39,41,LAR,0
2017,3,2017-09-24,DEN,BUF,-164.56,0.3217,DEN,0.6783,26,16,BUF,0
